id,host_id,neighbourhood,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,availability_365
156815,753530,Oud-Noord,Entire home/apt,695,2,26,2018-11-25,0.31,108
162467,776296,De Baarsjes - Oud-West,Entire home/apt,145,3,46,2018-09-16,0.64,309
165833,790547,De Baarsjes - Oud-West,Entire home/apt,74,2,37,2018-05-23,0.72,0
168769,436145,Centrum-West,Private room,120,2,204,2018-12-03,2.33,85
169356,806976,Centrum-West,Entire home/apt,220,7,18,2018-08-29,0.2,68
170223,811403,Centrum-West,Entire home/apt,145,3,47,2018-11-13,0.55,57
171054,815989,De Baarsjes - Oud-West,Entire home/apt,120,6,102,2017-12-21,1.13,0
171631,818479,De Baarsjes - Oud-West,Entire home/apt,89,3,45,2018-04-03,0.5,338
175989,58458,De Baarsjes - Oud-West,Entire home/apt,100,3,99,2018-04-13,1.13,0
179528,856540,De Pijp - Rivierenbuurt,Entire home/apt,230,29,27,2018-05-31,0.31,224
184282,883996,Centrum-Oost,Entire home/apt,230,3,158,2018-10-11,1.84,338
188347,907405,De Baarsjes - Oud-West,Private room,50,1,318,2018-11-17,3.58,19
189754,915591,Centrum-West,Private room,160,2,130,2018-12-02,1.48,268
190585,920732,Westerpark,Entire home/apt,110,4,88,2018-12-04,0.99,51
190943,922787,Zuid,Entire home/apt,150,4,9,2018-10-26,0.12,5
193038,935742,Centrum-Oost,Private room,95,3,497,2018-11-23,5.64,187
198307,967796,Centrum-West,Entire home/apt,100,13,37,2017-05-03,0.42,0
199844,976652,Westerpark,Entire home/apt,99,5,42,2017-05-02,0.48,0
200461,539840,De Baarsjes - Oud-West,Entire home/apt,79,3,33,2018-07-28,0.37,28
201322,542540,Centrum-West,Entire home/apt,80,1,64,2018-10-23,0.74,165
203658,999036,Zuid,Entire home/apt,284,3,25,2017-07-02,0.3,0
204014,1001281,De Baarsjes - Oud-West,Entire home/apt,99,4,15,2018-08-05,0.17,0
205759,1011967,De Baarsjes - Oud-West,Entire home/apt,99,1,2,2015-07-27,0.05,0
212050,887591,De Baarsjes - Oud-West,Entire home/apt,180,3,13,2018-04-29,0.15,334
213721,599238,Zuid,Private room,129,3,39,2018-11-13,0.45,365
214531,1107389,Centrum-West,Private room,114,3,150,2018-10-13,1.74,163
217692,1124563,De Pijp - Rivierenbuurt,Entire home/apt,150,3,14,2018-09-19,0.27,352
219276,1135329,Centrum-West,Entire home/apt,265,2,1,2012-07-31,0.01,330
221943,1151745,De Baarsjes - Oud-West,Entire home/apt,170,3,187,2018-10-23,2.15,237
222516,1155595,De Baarsjes - Oud-West,Entire home/apt,100,3,104,2018-11-25,1.2,8
226121,1178877,De Baarsjes - Oud-West,Private room,165,4,82,2018-10-22,0.94,35
230710,1205924,Centrum-West,Entire home/apt,125,14,16,2018-08-31,0.2,0
236180,1238074,Centrum-West,Entire home/apt,175,3,2,2016-09-11,0.04,0
236632,77484,De Pijp - Rivierenbuurt,Entire home/apt,100,7,107,2018-11-21,1.26,114
237017,1158389,De Baarsjes - Oud-West,Entire home/apt,80,3,17,2018-02-26,0.23,0
239647,1232843,De Baarsjes - Oud-West,Private room,86,2,540,2018-11-29,6.21,6
245927,1005087,Centrum-West,Entire home/apt,400,2,56,2018-11-21,0.7,10
247805,1298735,De Baarsjes - Oud-West,Private room,119,2,289,2018-12-02,3.36,250
250702,1314459,De Pijp - Rivierenbuurt,Entire home/apt,120,3,37,2017-02-22,0.44,0
250751,1314658,Oostelijk Havengebied - Indische Buurt,Entire home/apt,70,2,97,2018-08-07,1.13,0
251444,1318753,Centrum-West,Entire home/apt,449,1,13,2018-06-22,0.16,169
252725,1326878,De Baarsjes - Oud-West,Entire home/apt,175,2,47,2018-12-02,0.59,1
253650,187580,Centrum-West,Private room,149,3,358,2018-12-02,4.25,187
253792,106225,Centrum-West,Entire home/apt,193,1,77,2018-10-28,0.91,0
254104,1334704,Centrum-Oost,Private room,145,2,65,2018-10-20,1.5,306
254800,1337537,Centrum-West,Entire home/apt,250,2,42,2018-09-17,0.62,32
255177,1340887,De Pijp - Rivierenbuurt,Private room,115,3,88,2018-11-25,3.23,99
255202,1340998,Centrum-West,Private room,188,3,2,2012-02-13,0.02,362
255809,1344947,De Pijp - Rivierenbuurt,Private room,150,2,60,2018-06-25,0.75,102
256340,1348274,Centrum-Oost,Entire home/apt,100,4,4,2017-07-14,0.06,0
256670,1350388,De Baarsjes - Oud-West,Entire home/apt,168,7,6,2018-01-05,0.09,14
258273,1358307,De Pijp - Rivierenbuurt,Entire home/apt,8000,30,8,2013-10-22,0.1,364
260187,1365416,Oud-Oost,Entire home/apt,99,4,26,2015-08-16,0.32,0
261902,226808,Oud-Oost,Entire home/apt,225,3,38,2018-04-02,0.47,0
262209,1375554,Oostelijk Havengebied - Indische Buurt,Entire home/apt,73,2,14,2018-11-05,0.16,0
262394,1376607,Zuid,Private room,96,4,103,2018-11-23,1.27,62
262562,1294098,Centrum-West,Entire home/apt,190,30,4,2017-09-20,0.06,90
264628,1388357,Noord-Oost,Entire home/apt,100,2,1,2015-12-31,0.03,351
265349,1391689,De Baarsjes - Oud-West,Entire home/apt,85,3,20,2018-09-17,0.23,16
266087,1317420,Centrum-Oost,Entire home/apt,125,2,4,2018-11-18,0.05,293
271599,1421327,Zuid,Private room,900,2,173,2016-07-01,2.05,0
271787,1422303,Centrum-West,Private room,110,3,9,2018-11-26,0.11,182
272597,1426693,Zuid,Entire home/apt,120,4,6,2018-04-08,0.15,0
274688,1435990,Bos en Lommer,Entire home/apt,125,3,37,2018-09-14,0.44,30
276275,1443641,De Pijp - Rivierenbuurt,Entire home/apt,169,4,22,2017-11-25,0.29,364
277011,1446698,De Baarsjes - Oud-West,Entire home/apt,125,4,20,2018-11-14,0.25,0
278823,615517,De Baarsjes - Oud-West,Private room,74,3,141,2018-07-29,1.67,80
282269,1471195,Zuid,Entire home/apt,115,10,3,2015-09-15,0.05,0
283170,1451657,Zuid,Entire home/apt,650,2,97,2018-11-18,1.2,360
283621,1477248,Centrum-West,Entire home/apt,105,7,30,2018-11-26,0.36,319
284319,1480817,Centrum-Oost,Private room,115,2,16,2018-01-03,0.19,331
286500,1491565,Centrum-West,Private room,150,3,245,2018-11-26,2.94,274
289071,1501819,Centrum-West,Private room,90,3,177,2018-11-20,2.11,44
290701,1491565,Centrum-West,Private room,150,3,283,2018-11-23,3.42,287
291637,1247363,Watergraafsmeer,Private room,95,2,8,2018-02-12,0.1,0
291752,1511330,Oud-Oost,Private room,89,2,187,2018-11-18,2.22,337
293337,1493495,Oud-Noord,Private room,105,4,23,2018-07-08,0.28,338
293514,1518360,Oud-Noord,Entire home/apt,74,1,5,2015-09-22,0.11,0
294226,1421327,Zuid,Private room,900,2,166,2016-07-01,2.07,0
294468,1509881,Centrum-Oost,Entire home/apt,175,3,14,2017-06-12,0.35,0
296452,615517,De Baarsjes - Oud-West,Entire home/apt,164,3,4,2018-03-19,0.06,85
297220,1532319,De Pijp - Rivierenbuurt,Entire home/apt,117,6,83,2018-06-30,0.98,0
300067,1545992,Oud-Oost,Private room,45,4,9,2018-02-12,0.11,74
301220,1550321,Centrum-West,Entire home/apt,125,3,83,2017-02-28,0.99,0
302426,1557454,Centrum-West,Entire home/apt,126,5,14,2017-09-10,0.17,0
304189,1565512,Centrum-West,Entire home/apt,155,5,79,2018-08-13,0.95,106
305200,1135329,Centrum-West,Entire home/apt,550,2,3,2018-11-18,0.1,103
305809,1573009,Westerpark,Entire home/apt,295,1,121,2018-10-21,1.49,360
306852,1141485,Centrum-Oost,Entire home/apt,195,3,11,2018-10-27,0.15,0
307470,1582009,Centrum-Oost,Entire home/apt,130,21,6,2016-02-22,0.08,67
307497,1582128,Westerpark,Entire home/apt,464,2,87,2018-12-03,1.15,124
308028,1141485,Centrum-Oost,Private room,90,3,25,2018-03-04,0.44,71
309436,1570754,Oud-Noord,Private room,135,2,61,2018-08-06,0.88,354
310722,1598424,De Baarsjes - Oud-West,Entire home/apt,169,2,28,2016-10-22,0.4,0
311124,1600010,Centrum-West,Entire home/apt,200,3,72,2018-09-23,0.9,362
311584,1023895,De Baarsjes - Oud-West,Entire home/apt,100,3,53,2017-10-14,0.64,0
311694,1480817,Centrum-Oost,Private room,115,2,9,2018-06-08,0.2,333
313778,1612893,Oostelijk Havengebied - Indische Buurt,Entire home/apt,124,1,48,2018-10-22,0.65,30
314082,1613692,De Baarsjes - Oud-West,Entire home/apt,111,1,34,2018-11-25,0.42,9
314235,1613017,De Pijp - Rivierenbuurt,Entire home/apt,200,4,9,2015-05-31,0.11,0
315820,1743575,Oud-Oost,Entire home/apt,107,4,46,2018-10-28,0.57,166
319985,1640702,De Pijp - Rivierenbuurt,Entire home/apt,169,2,215,2018-11-18,2.68,139
320689,1642815,Zuid,Entire home/apt,88,1,32,2016-11-07,0.4,0
325165,1636818,Centrum-Oost,Entire home/apt,80,3,24,2018-06-10,0.35,0
329577,1682737,Zuid,Entire home/apt,190,2,36,2018-11-01,0.44,21
331946,1687595,De Baarsjes - Oud-West,Entire home/apt,275,2,23,2018-01-06,0.37,0
335197,1706915,Centrum-West,Entire home/apt,175,3,102,2016-07-17,1.26,1
340994,1730202,Centrum-Oost,Entire home/apt,140,4,34,2018-10-23,0.42,65
342540,1738291,Watergraafsmeer,Private room,72,2,226,2018-11-19,2.78,334
343094,1740785,Oud-Oost,Private room,96,3,298,2018-11-19,3.71,240
345397,1751751,De Pijp - Rivierenbuurt,Entire home/apt,169,2,38,2018-09-09,0.47,0
347272,317696,Centrum-West,Entire home/apt,129,4,50,2018-08-13,0.62,5
349208,1029506,Oud-Oost,Private room,75,2,81,2018-11-21,1.05,314
350271,1775032,IJburg - Zeeburgereiland,Entire home/apt,395,7,3,2018-09-17,0.07,358
356220,1801815,Centrum-Oost,Private room,120,2,160,2018-10-28,1.96,3
356424,1803801,Westerpark,Entire home/apt,100,5,16,2016-01-05,0.2,0
357980,1811745,De Baarsjes - Oud-West,Entire home/apt,245,2,70,2018-11-18,0.86,6
359298,1817922,Centrum-Oost,Entire home/apt,150,4,108,2018-07-06,1.33,123
359408,1818342,Centrum-West,Entire home/apt,99,3,66,2018-08-26,0.84,1
361342,1826139,Centrum-West,Entire home/apt,299,4,94,2018-11-23,1.17,13
362458,1831568,Centrum-Oost,Entire home/apt,80,4,47,2018-11-12,0.65,14
364728,1155851,Centrum-Oost,Entire home/apt,129,2,148,2018-11-26,1.83,316
366438,1849988,Centrum-Oost,Private room,170,2,394,2018-11-18,4.86,160
367107,1853421,Centrum-Oost,Entire home/apt,170,3,6,2018-11-04,0.15,8
367491,1855417,De Baarsjes - Oud-West,Entire home/apt,165,2,58,2018-09-03,0.71,13
370695,1294098,Centrum-West,Entire home/apt,190,7,104,2018-11-29,1.3,63
370870,1868839,Centrum-Oost,Entire home/apt,100,5,40,2018-11-24,0.49,14
378523,1901477,Centrum-Oost,Entire home/apt,280,3,88,2018-08-15,1.16,152
379143,1887873,De Pijp - Rivierenbuurt,Private room,85,3,82,2018-11-21,4.06,74
379885,1907015,Oud-Oost,Entire home/apt,199,3,41,2018-09-16,0.51,314
384909,1927004,Centrum-West,Entire home/apt,199,2,104,2018-09-17,1.28,0
386479,1934192,Centrum-West,Private room,100,2,113,2018-12-02,1.43,17
387644,1939619,Westerpark,Entire home/apt,300,4,51,2018-09-28,0.65,0
390894,1954555,Centrum-West,Entire home/apt,225,1,34,2017-03-30,0.43,355
392003,1934192,Centrum-West,Private room,55,2,165,2018-12-02,2.09,12
396125,1979865,Centrum-West,Private room,70,3,503,2018-11-25,6.24,23
400325,1998272,Centrum-Oost,Entire home/apt,140,2,53,2017-07-02,0.65,0
402353,2008330,Watergraafsmeer,Entire home/apt,130,2,121,2018-11-24,1.55,202
406794,325306,Oud-Oost,Entire home/apt,150,2,8,2016-08-22,0.24,0
